Iter;McCC;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;NATTR;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;Project;Model;F1X;F1D2;F1D3;F1D4;PrecX;PrecD2;PrecD3;PrecD4;RecallX;RecallD2;RecallD3;RecallD4;AUCX;AUC2;AUC3;AUC4;SENX;SEN2;SEN3;SEN4;SPCX;SPC2;SPC3;SPC4;MCC;MCC2;MCC3;MCC4
3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;glm;0.6735751;0.6903553;0.6969697;0.7005076;0.7738095;0.7727273;0.7752809;0.7840909;0.5963303;0.6238532;0.6330275;0.6330275;0.8625923;0.8610057;0.8606148;0.8621554;0.5963303;0.6238532;0.6330275;0.6330275;0.952381;0.9498747;0.9498747;0.952381;0.6063466;0.6223572;0.60634663;0.6350278
3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;knn;0.1832061;0.1925926;0.1832061;0.1940299;0.5454545;0.5;0.5454545;0.52;0.1100917;0.1192661;0.1100917;0.1192661;0.7060311;0.7412338;0.7096641;0.74228;0.1100917;0.1192661;0.1100917;0.1192661;0.9749373;0.9674185;0.9749373;0.9699248;0.1714896;0.1614847;0.17148963;0.1692686
3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;naive_bayes;0.556962;0.5448916;0.5517241;0.5448916;0.4251208;0.411215;0.4190476;0.411215;0.8073394;0.8073394;0.8073394;0.8073394;0.7995677;0.7999586;0.8061208;0.8070175;0.8073394;0.8073394;0.8073394;0.8073394;0.7017544;0.6842105;0.6942356;0.6842105;0.425333;0.4086832;0.4253333;0.4086832
3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rf;0.6878307;0.6702703;0.6629834;0.6885246;0.8125;0.8157895;0.8333333;0.8513514;0.5963303;0.5688073;0.5504587;0.5779817;0.8697777;0.8700651;0.8714792;0.8707549;0.5963303;0.5688073;0.5504587;0.5779817;0.962406;0.9649123;0.9699248;0.9724311;0.6297087;0.6142769;0.62970873;0.6405123
3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rpart;0.6091954;0.6091954;0.579235;0.5789474;0.8153846;0.8153846;0.7162162;0.6790123;0.4862385;0.4862385;0.4862385;0.5045872;0.8157435;0.8157435;0.8062933;0.8250558;0.4862385;0.4862385;0.4862385;0.5045872;0.9699248;0.9699248;0.9473684;0.9348371;0.5606109;0.5606109;0.56061093;0.4927507
4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;glm;0.6432161;0.6217617;0.6428571;0.6464646;0.7111111;0.7142857;0.7241379;0.7191011;0.587156;0.5504587;0.5779817;0.587156;0.8357361;0.8366099;0.8365639;0.8332988;0.587156;0.5504587;0.5779817;0.587156;0.9348371;0.9398496;0.9398496;0.9373434;0.5612483;0.5418092;0.56124833;0.5664253
4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;knn;0.1846154;0.1954887;0.1846154;0.1954887;0.5714286;0.5416667;0.5714286;0.5416667;0.1100917;0.1192661;0.1100917;0.1192661;0.5592536;0.6283139;0.559863;0.6298085;0.1100917;0.1192661;0.1100917;0.1192661;0.9774436;0.9724311;0.9774436;0.9724311;0.1805132;0.17743;0.18051323;0.17743
4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;naive_bayes;0.5594406;0.5405405;0.5536332;0.5503356;0.4519774;0.4278075;0.4444444;0.4338624;0.733945;0.733945;0.733945;0.7522936;0.7974983;0.7954289;0.8004185;0.798671;0.733945;0.733945;0.733945;0.7522936;0.7568922;0.7318296;0.7493734;0.7318296;0.4228989;0.3964625;0.42289893;0.4111775
4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rf;0.6378378;0.627027;0.6120219;0.6120219;0.7763158;0.7631579;0.7567568;0.7567568;0.5412844;0.5321101;0.5137615;0.5137615;0.8367248;0.8463245;0.8454738;0.8502449;0.5412844;0.5321101;0.5137615;0.5137615;0.9573935;0.9548872;0.9548872;0.9548872;0.5739461;0.5605025;0.57394613;0.5453639
4;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rpart;0.5870647;0.5730337;0.5870647;0.5588235;0.6413043;0.7391304;0.6413043;0.6;0.5412844;0.4678899;0.5412844;0.5229358;0.7845186;0.7821963;0.7845186;0.7755743;0.5412844;0.4678899;0.5412844;0.5229358;0.9172932;0.9548872;0.9172932;0.9047619;0.4888459;0.5065874;0.48884593;0.4502977
5;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;glm;0.6984127;0.6947368;0.6947368;0.6979167;0.825;0.8148148;0.8148148;0.8072289;0.6055046;0.6055046;0.6055046;0.6146789;0.8685475;0.8700421;0.8711687;0.8695362;0.6055046;0.6055046;0.6055046;0.6146789;0.9649123;0.962406;0.962406;0.9598997;0.642873;0.6368296;0.6428733;0.6379926
