Iter;McCC;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;NATTR;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;Project;Model;F1X;F1D2;F1D3;F1D4;PrecX;PrecD2;PrecD3;PrecD4;RecallX;RecallD2;RecallD3;RecallD4;AUCX;AUC2;AUC3;AUC4;SENX;SEN2;SEN3;SEN4;SPCX;SPC2;SPC3;SPC4;MCC;MCC2;MCC3;MCC4
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;glm;0.5561497;0.5684211;0.5638298;0.5906736;0.6666667;0.6666667;0.6708861;0.6785714;0.4770642;0.4954128;0.4862385;0.5229358;0.8171691;0.8141684;0.8181923;0.8230438;0.4770642;0.4954128;0.4862385;0.5229358;0.9348371;0.9323308;0.9348371;0.9323308;0.4690416;0.4796526;0.46904163;0.5030868
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;knn;0.6010929;0.6137566;0.6129032;0.622449;0.7432432;0.725;0.7402597;0.7011494;0.5045872;0.5321101;0.5229358;0.559633;0.8488653;0.8320112;0.8387482;0.8130648;0.5045872;0.5321101;0.5229358;0.559633;0.952381;0.9448622;0.9498747;0.9348371;0.5317713;0.5375587;0.53177133;0.5388143
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;naive_bayes;0.6020408;0.6411483;0.6060606;0.6540284;0.6781609;0.67;0.6741573;0.6764706;0.5412844;0.6146789;0.5504587;0.6330275;0.831149;0.8367708;0.8347474;0.8391391;0.5412844;0.6146789;0.5504587;0.6330275;0.9298246;0.9172932;0.9273183;0.9172932;0.5133581;0.5492354;0.51335813;0.5639654
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rf;0.6528497;0.6492147;0.6455026;0.6421053;0.75;0.7560976;0.7625;0.7530864;0.5779817;0.5688073;0.559633;0.559633;0.8527052;0.8533145;0.8541767;0.8519234;0.5779817;0.5688073;0.559633;0.559633;0.9473684;0.9498747;0.952381;0.9498747;0.5805317;0.5787476;0.58053173;0.5713392
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rpart;0.6213592;0.6022727;0.6022727;0.6022727;0.6597938;0.7910448;0.7910448;0.7910448;0.587156;0.4862385;0.4862385;0.4862385;0.7411648;0.7521671;0.7521671;0.7521671;0.587156;0.4862385;0.4862385;0.4862385;0.9172932;0.9649123;0.9649123;0.9649123;0.5268783;0.5473495;0.52687833;0.5473495
4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;glm;0.6020408;0.6051282;0.6030151;0.6530612;0.6781609;0.6860465;0.6666667;0.7356322;0.5412844;0.5412844;0.5504587;0.587156;0.8191695;0.820756;0.8184107;0.8266883;0.5412844;0.5412844;0.5504587;0.587156;0.9298246;0.9323308;0.924812;0.9423559;0.5133581;0.5184656;0.51335813;0.5769985
4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;knn;0.6041667;0.6358974;0.5968586;0.6358974;0.6987952;0.7209302;0.695122;0.7209302;0.5321101;0.5688073;0.5229358;0.5688073;0.8335518;0.8499805;0.8416454;0.8504863;0.5321101;0.5688073;0.5229358;0.5688073;0.9373434;0.9398496;0.9373434;0.9398496;0.5212652;0.5568257;0.52126523;0.5568257
4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;naive_bayes;0.6391753;0.6568627;0.6358974;0.6571429;0.7294118;0.7052632;0.7209302;0.6831683;0.5688073;0.6146789;0.5688073;0.6330275;0.8194454;0.8288726;0.8247339;0.8319537;0.5688073;0.6146789;0.5688073;0.6330275;0.9423559;0.9298246;0.9398496;0.9197995;0.5621855;0.5732757;0.56218553;0.5686317
4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rf;0.6804124;0.6701031;0.6632124;0.6666667;0.7764706;0.7647059;0.7619048;0.7710843;0.6055046;0.5963303;0.587156;0.587156;0.8665356;0.8685935;0.8662367;0.8627302;0.6055046;0.5963303;0.587156;0.587156;0.952381;0.9498747;0.9498747;0.952381;0.6135715;0.600725;0.61357153;0.5990835
4;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rpart;0.6534653;0.6467662;0.6435644;0.6502463;0.7096774;0.7065217;0.6989247;0.7021277;0.6055046;0.5963303;0.5963303;0.6055046;0.7718723;0.8002345;0.7758502;0.800246;0.6055046;0.5963303;0.5963303;0.6055046;0.9323308;0.9323308;0.9298246;0.9298246;0.5709309;0.5635552;0.57093093;0.5659219
